Angle,Joint_0_x,Joint_1_x,Joint_2_x,Joint_3_x,Joint_0_y,Joint_1_y,Joint_2_y,Joint_3_y
0,0,2.0,1.918256849323818e-08,0,0,0.0,2.0,2
10,0,1.969615506024416,1.918256849323818e-08,0,0,0.34202014332566866,2.0,2
20,0,1.7338553783561357,1.918256849323818e-08,0,0,0.9144072698546167,2.0,2
30,0,1.0443591692173848,1.918256849323818e-08,0,0,1.314079509707963,2.0,2
40,0,-0.04464848878391081,1.918256849323818e-08,0,0,0.97794381084677,2.0,2
50,0,-0.7778479173632913,1.918256849323818e-08,0,0,0.03274408989412114,2.0,2
60,0,-0.41728117235375595,1.918256849323818e-08,0,0,-0.34500405083224484,2.0,2
70,0,0.18147919433277213,1.918256849323818e-08,0,0,0.052536324827097095,2.0,2
80,0,-0.020224648624144366,1.918256849323818e-08,0,0,-0.010794553699461733,2.0,2
90,0,0.010794553699461732,1.918256849323818e-08,0,0,0.010794553699461732,2.0,2
100,0,-0.012505014752175877,1.918256849323818e-08,0,0,-0.01418949005811419,2.0,2
110,0,0.01761072603815371,1.918256849323818e-08,0,0,0.021401760728129667,2.0,2
120,0,-0.027339831495353288,1.918256849323818e-08,0,0,-0.03437786897422668,2.0,2
130,0,0.04390868043010957,1.918256849323818e-08,0,0,0.05573366887223266,2.0,2
140,0,-0.06946091244161598,1.918256849323818e-08,0,0,-0.08734308120919933,2.0,2
150,0,0.10382645534908568,1.918256849323818e-08,0,0,0.1275545548465167,2.0,2
160,0,-0.14119118106434095,1.918256849323818e-08,0,0,-0.1681523019208495,2.0,2
170,0,0.1682455105681684,1.918256849323818e-08,0,0,0.1948132169293069,2.0,2
180,0,-0.16824551056816842,1.918256849323818e-08,0,0,-0.19481321692930692,2.0,2
190,0,0.13186052311182309,1.918256849323818e-08,0,0,0.16895622687665435,2.0,2
200,0,-0.06612192760903238,1.918256849323818e-08,0,0,-0.1361518884740111,2.0,2
210,0,-0.010812675180387886,1.918256849323818e-08,0,0,0.12331733178191327,2.0,2
220,0,0.08754984266620457,1.918256849323818e-08,0,0,-0.1507425108476362,2.0,2
230,0,-0.1717514168724762,1.918256849323818e-08,0,0,0.2284646367188708,2.0,2
240,0,0.2837318877011633,1.918256849323818e-08,0,0,-0.3599513409723564,2.0,2
250,0,-0.4352856398513301,1.918256849323818e-08,0,0,0.5321453129319994,2.0,2
260,0,0.5996473880293078,1.918256849323818e-08,0,0,-0.6829434606494224,2.0,2
270,0,-0.6829434606494225,1.918256849323818e-08,0,0,0.6829434606494226,2.0,2
280,0,0.5539761275252204,1.918256849323818e-08,0,0,-0.4269680979791978,2.0,2
290,0,-0.21174777644687193,1.918256849323818e-08,0,0,0.05294613292861619,2.0,2
300,0,-0.060021192075106596,1.918256849323818e-08,0,0,0.07845294356677564,2.0,2
310,0,0.021517562881160836,1.918256849323818e-08,0,0,0.03394517059358422,2.0,2
320,0,0.03830294454082825,1.918256849323818e-08,0,0,0.001382851138585845,2.0,2
330,0,0.03386274858139665,1.918256849323818e-08,0,0,-0.015733790075030764,2.0,2
340,0,0.02643930182494892,1.918256849323818e-08,0,0,-0.023827700230100612,2.0,2
350,0,0.02189999269848865,1.918256849323818e-08,0,0,-0.027268597746065493,2.0,2
360,0,0.021899992698488642,1.918256849323818e-08,0,0,-0.0272685977460655,2.0,2
